case_id,payload_id,key_id,payload_category,payload_text,key_text,payload_token_length,decode_exact_token_match,reverse_exact_token_match,display_string_match,first_mismatch_position,stegotext_text,decoded_text,decode_success_rate,decode_wilson95_low,decode_wilson95_high,reverse_success_rate,reverse_wilson95_low,reverse_wilson95_high
14,11,32,mundane sentence,Several people waited near the market.,Explain a baseball practice?,7,True,True,True,," diferencia, UVA, Colorado Springs", Several people waited near the market.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
15,4,16,longer sentence,The lab notebook was hidden in the cabinet.,Describe a quiet mountain village briefly.,9,True,True,True,, одну первинность убежице\n, The lab notebook was hidden in the cabinet.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
16,11,8,mundane sentence,Several people waited near the market.,Write about baking bread in one paragraph.,7,True,True,True,, chocolates with optional! The simplicity that, Several people waited near the market.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
17,17,52,model-like neutral sentence,The machine failed during testing.,Write a neutral product description briefly.,6,True,True,True,, swirling mind Aromatic essential oils, The machine failed during testing.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
18,8,23,factual sentence,The old train station was closed.,Talk about animals in a forest?,7,True,True,True,,_NODE 'and' animal] Forest, The old train station was closed.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
19,7,36,repeated simple payload,The device stopped working after midnight.,Describe ancient Roman roads.,7,True,True,True,,WIDTH_GFT =  %s, The device stopped working after midnight.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
20,17,29,model-like neutral sentence,The machine failed during testing.,Explain a baseball,6,True,True,True,,geben werden.! Of 10, The machine failed during testing.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
21,20,59,factual sentence,The message was written in pencil.,The quick brown fox jumps!,7,True,True,True,, leakage susceptibility to both the L and, The message was written in pencil.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
22,20,55,factual sentence,The message was written in pencil.,xhe quick brown fox jumps,7,True,True,True,,"ाश慢quick</p>"",\n ", The message was written in pencil.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
23,16,40,factual sentence,The museum opened after the storm.,Describe ancient Roman roads!,7,True,True,True,,هرست847 | Road | An overview, The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
24,16,25,factual sentence,The museum opened after the storm.,Talk about animals in a forest briefly.,7,True,True,True,,"xB#####,X#|####", The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
25,0,6,mundane sentence,Switzerland is expensive.,Write about baking bread today.,4,True,True,True,,European countries say they, Switzerland is expensive.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
26,12,51,mundane sentence,The garden tools were left outside.,Write a neutral product description today.,7,True,True,True,,ورية Contents CREAMY AND DEL, The garden tools were left outside.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
27,9,10,mundane sentence,A wooden box was placed under the desk.,xescribe a quiet mountain village.,9,True,True,True,,heard[/b\n[b]'s name[/, A wooden box was placed under the desk.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
28,9,0,mundane sentence,A wooden box was placed under the desk.,Write about baking bread.,9,True,True,True,,.module—the most common bread types and.\nB, A wooden box was placed under the desk.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
29,4,11,longer sentence,The lab notebook was hidden in the cabinet.,Describe a quiet mountain,9,True,True,True,, Epstein stated she and Casey Anthony were dating., The lab notebook was hidden in the cabinet.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
30,16,4,factual sentence,The museum opened after the storm.,Write about baking bread!,7,True,True,True,,(Element/Voc/Eng: Grade, The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
31,10,3,model-like neutral sentence,The report was delayed until morning.,Write about baking bread.s,7,True,True,True,, Snapchat sent him about.\nAt this, The report was delayed until morning.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
32,16,28,factual sentence,The museum opened after the storm.,xxplain a baseball practice.,7,True,True,True,,RESSED worries to baseball. How many, The museum opened after the storm.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
33,15,0,longer sentence,A narrow road followed the river.,Write about baking bread.,7,True,True,True,,.module presentation by presentation. The module, A narrow road followed the river.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
34,4,27,longer sentence,The lab notebook was hidden in the cabinet.,Explain a baseball practice.,9,True,True,True,, leží objevoval své muzikantsché ko, The lab notebook was hidden in the cabinet.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
35,14,44,factual sentence,The weather changed before sunset.,Describe ancient Roman roads in one paragraph.,6,True,True,True,,拍草：对\nAnc, The weather changed before sunset.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
36,10,4,model-like neutral sentence,The report was delayed until morning.,Write about baking bread!,7,True,True,True,,(Element S - Sand/Sage)\n\n, The report was delayed until morning.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
37,3,39,short sentence,A quiet river crossed the valley.,Describe ancient Roman road.,7,True,True,True,, катolicок http://balk, A quiet river crossed the valley.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
38,13,22,policy-like sentence,The city council approved the plan.,Talk about animals in a forest!,7,True,True,True,,eli123123: I think animals, The city council approved the plan.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
39,3,55,short sentence,A quiet river crossed the valley.,xhe quick brown fox jumps,7,True,True,True,,"_limxf]"")));\n        // System", A quiet river crossed the valley.,1.0,0.9123783988027135,1.0,1.0,0.9123783988027135,1.0
