case_id,payload_id,key_id,payload_text,key_text,perturbation_type,perturbation_position,token_length,decoded_token_edit_distance,normalized_decoded_token_edit_distance,first_mismatch_position,suffix_corruption_fraction,corrupted,original_stegotext,perturbed_stegotext,decoded_original,decoded_perturbed,corruption_rate,corruption_wilson95_low,corruption_wilson95_high
2,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,adjacent_token_transposition,5,7,2,0.2857142857142857,5,1.0,True,ाशεikh\n``Hexadecimal,ाशεikh\n``adecimalHex, The device stopped working after midnight., The device stopped working after lest applications,1.0,0.9541818704644728,0.9999999999999999
2,7,55,The device stopped working after midnight.,xhe quick brown fox jumps,punctuation_token_substitution,0,7,7,1.0,0,1.0,True,ाशεikh\n``Hexadecimal, ?εikh\n``Hexadecimal, The device stopped working after midnight.,Every Active susbcriesion is,1.0,0.9541818704644728,0.9999999999999999
3,5,50,A small bird landed near the window.,Write a neutral product description?,random_token_substitution,4,8,4,0.5,4,1.0,True, slipped out you need it to describe a, slipped out you need onto to describe a, A small bird landed near the window., A small bird landed paw- paw with,1.0,0.9541818704644728,0.9999999999999999
3,5,50,A small bird landed near the window.,Write a neutral product description?,nearby_rank_substitution,6,8,2,0.25,6,1.0,True, slipped out you need it to describe a, slipped out you need it to the a, A small bird landed near the window., A small bird landed near the camp so,1.0,0.9541818704644728,0.9999999999999999
3,5,50,A small bird landed near the window.,Write a neutral product description?,adjacent_token_transposition,0,8,8,1.0,0,1.0,True, slipped out you need it to describe a, out slipped you need it to describe a, A small bird landed near the window.,秒.Comment this idea.\nI'm a,1.0,0.9541818704644728,0.9999999999999999
3,5,50,A small bird landed near the window.,Write a neutral product description?,punctuation_token_substitution,3,8,5,0.625,3,1.0,True, slipped out you need it to describe a, slipped out you : it to describe a, A small bird landed near the window., A small bird it sits. For the,1.0,0.9541818704644728,0.9999999999999999
4,16,2,The museum opened after the storm.,Write about baking,random_token_substitution,0,7,7,1.0,0,1.0,True," تاریخی مدیریت : ""The joy...\n","Al مدیریت : ""The joy...\n", The museum opened after the storm., Should पडर्दा पट,1.0,0.9541818704644728,0.9999999999999999
4,16,2,The museum opened after the storm.,Write about baking,nearby_rank_substitution,0,7,7,1.0,0,1.0,True," تاریخی مدیریت : ""The joy...\n","オリ مدیریت : ""The joy...\n", The museum opened after the storm.,ifestyles 실제 슠의 실제 실,1.0,0.9541818704644728,0.9999999999999999
4,16,2,The museum opened after the storm.,Write about baking,adjacent_token_transposition,4,7,3,0.42857142857142855,4,1.0,True," تاریخی مدیریت : ""The joy...\n"," تاریخی مدیریت : "" joyThe...\n", The museum opened after the storm., The museum opened aftereducation stop selling,1.0,0.9541818704644728,0.9999999999999999
4,16,2,The museum opened after the storm.,Write about baking,punctuation_token_substitution,3,7,4,0.5714285714285714,3,1.0,True," تاریخی مدیریت : ""The joy...\n"," تاریخی مدیریت : ,The joy...\n", The museum opened after the storm., The museum opened pre exhibition  in,1.0,0.9541818704644728,0.9999999999999999
5,13,14,The city council approved the plan.,Describe a quiet mountain village?,random_token_substitution,5,7,2,0.2857142857142857,5,1.0,True, anomaly can also help to describe an, anomaly can also help to *(( an, The city council approved the plan., The city council approved the Düşemen,1.0,0.9541818704644728,0.9999999999999999
5,13,14,The city council approved the plan.,Describe a quiet mountain village?,nearby_rank_substitution,5,7,2,0.2857142857142857,5,1.0,True, anomaly can also help to describe an, anomaly can also help to identify an, The city council approved the plan., The city council approved the construction ,1.0,0.9541818704644728,0.9999999999999999
5,13,14,The city council approved the plan.,Describe a quiet mountain village?,adjacent_token_transposition,0,7,6,0.8571428571428571,0,0.8571428571428571,True, anomaly can also help to describe an, can anomaly also help to describe an, The city council approved the plan.,February corpo calendar template excel free.,1.0,0.9541818704644728,0.9999999999999999
5,13,14,The city council approved the plan.,Describe a quiet mountain village?,punctuation_token_substitution,5,7,2,0.2857142857142857,5,1.0,True, anomaly can also help to describe an, anomaly can also help to ? an, The city council approved the plan., The city council approved the facilities upgrades,1.0,0.9541818704644728,0.9999999999999999
6,22,36,A quiet bird watched from the roof.,Describe ancient Roman roads.,random_token_substitution,1,8,7,0.875,1,1.0,True," доме забка».  (Latin,"," домеvníка».  (Latin,", A quiet bird watched from the roof.," A ""**dot-problem** problem"":",1.0,0.9541818704644728,0.9999999999999999
6,22,36,A quiet bird watched from the roof.,Describe ancient Roman roads.,nearby_rank_substitution,4,8,4,0.5,4,1.0,True," доме забка».  (Latin,"," доме забка». ( (Latin,", A quiet bird watched from the roof., A quiet bird watched as Ferdinand sailed to,1.0,0.9541818704644728,0.9999999999999999
6,22,36,A quiet bird watched from the roof.,Describe ancient Roman roads.,adjacent_token_transposition,1,8,7,0.875,1,1.0,True," доме забка».  (Latin,"," домека заб».  (Latin,", A quiet bird watched from the roof., A rustic shack Cedarville in Montana.\n,1.0,0.9541818704644728,0.9999999999999999
6,22,36,A quiet bird watched from the roof.,Describe ancient Roman roads.,punctuation_token_substitution,5,8,3,0.375,5,1.0,True," доме забка».  (Latin,"," доме забка».  :Latin,", A quiet bird watched from the roof., A quiet bird watched from Above Bringing forth,1.0,0.9541818704644728,0.9999999999999999
7,16,39,The museum opened after the storm.,Describe ancient Roman road.,random_token_substitution,6,7,1,0.14285714285714285,6,1.0,True,YZrd8Z7dJ,YZrd8Z7d	new, The museum opened after the storm., The museum opened after the storm'an,1.0,0.9541818704644728,0.9999999999999999
7,16,39,The museum opened after the storm.,Describe ancient Roman road.,nearby_rank_substitution,3,7,4,0.5714285714285714,3,1.0,True,YZrd8Z7dJ,YZrd8T7dJ, The museum opened after the storm., The museum opened up a series \n,1.0,0.9541818704644728,0.9999999999999999
7,16,39,The museum opened after the storm.,Describe ancient Roman road.,adjacent_token_transposition,4,7,3,0.42857142857142855,4,1.0,True,YZrd8Z7dJ,YZrd8Zd7J, The museum opened after the storm., The museum opened after eight months’,1.0,0.9541818704644728,0.9999999999999999
7,16,39,The museum opened after the storm.,Describe ancient Roman road.,punctuation_token_substitution,3,7,4,0.5714285714285714,3,1.0,True,YZrd8Z7dJ,"YZrd8 ,7dJ", The museum opened after the storm., The museum opened temporarily from July and,1.0,0.9541818704644728,0.9999999999999999
8,20,28,The message was written in pencil.,xxplain a baseball practice.,random_token_substitution,4,7,3,0.42857142857142855,4,1.0,True,RESSED veteran manager Sparky\nAd,RESSED veteran manager Spark Login\nAd, The message was written in pencil., The message was written Barnes's more,1.0,0.9541818704644728,0.9999999999999999
8,20,28,The message was written in pencil.,xxplain a baseball practice.,nearby_rank_substitution,1,7,6,0.8571428571428571,1,1.0,True,RESSED veteran manager Sparky\nAd,RESSED:]. manager Sparky\nAd, The message was written in pencil., The Sl manipulation transportation system \nThe,1.0,0.9541818704644728,0.9999999999999999
8,20,28,The message was written in pencil.,xxplain a baseball practice.,adjacent_token_transposition,5,7,2,0.2857142857142857,5,1.0,True,RESSED veteran manager Sparky\nAd,RESSED veteran manager SparkyAd\n, The message was written in pencil.," The message was written in   ,",1.0,0.9541818704644728,0.9999999999999999
8,20,28,The message was written in pencil.,xxplain a baseball practice.,punctuation_token_substitution,0,7,7,1.0,0,1.0,True,RESSED veteran manager Sparky\nAd, ? veteran manager Sparky\nAd, The message was written in pencil.,Download greenspunner's avatar (,1.0,0.9541818704644728,0.9999999999999999
9,8,43,The old train station was closed.,Describe ancient Roman roads briefly.,random_token_substitution,2,7,5,0.7142857142857143,2,1.0,True, intent indicates action or direction\nA, intent indicatesafter or direction\nA, The old train station was closed., The old	Grahamophone in his,1.0,0.9541818704644728,0.9999999999999999
9,8,43,The old train station was closed.,Describe ancient Roman roads briefly.,nearby_rank_substitution,0,7,7,1.0,0,1.0,True, intent indicates action or direction\nA, mutex indicates action or direction\nA, The old train station was closed.,ifestyles Photo %i|storie,1.0,0.9541818704644728,0.9999999999999999
9,8,43,The old train station was closed.,Describe ancient Roman roads briefly.,adjacent_token_transposition,0,7,7,1.0,0,1.0,True, intent indicates action or direction\nA, indicates intent action or direction\nA, The old train station was closed.,800 Santinos Trls Ste J,1.0,0.9541818704644728,0.9999999999999999
9,8,43,The old train station was closed.,Describe ancient Roman roads briefly.,punctuation_token_substitution,6,7,1,0.14285714285714285,6,1.0,True, intent indicates action or direction\nA, intent indicates action or direction\n :, The old train station was closed., The old train station was closedeffective,1.0,0.9541818704644728,0.9999999999999999
10,2,22,The current policy has failed.,Talk about animals in a forest!,random_token_substitution,3,6,3,0.5,3,1.0,True,eli said proudly as a small,eli said proudly Word a small, The current policy has failed., The current policy〜Partie,1.0,0.9541818704644728,0.9999999999999999
10,2,22,The current policy has failed.,Talk about animals in a forest!,nearby_rank_substitution,1,6,5,0.8333333333333334,1,1.0,True,eli said proudly as a small,eli | proudly as a small, The current policy has failed., The function/regain is specified,1.0,0.9541818704644728,0.9999999999999999
10,2,22,The current policy has failed.,Talk about animals in a forest!,adjacent_token_transposition,1,6,5,0.8333333333333334,1,1.0,True,eli said proudly as a small,eli proudly said as a small, The current policy has failed., The Fachgebett 'Math,1.0,0.9541818704644728,0.9999999999999999
10,2,22,The current policy has failed.,Talk about animals in a forest!,punctuation_token_substitution,0,6,6,1.0,0,1.0,True,eli said proudly as a small," , said proudly as a small", The current policy has failed.,@se.fri.pama,1.0,0.9541818704644728,0.9999999999999999
11,18,48,A notebook remained inside the drawer.,Write a neutral product descriptions.,random_token_substitution,4,7,3,0.42857142857142855,4,1.0,True,üs aus mor­gen und ich,üs aus mor­-j und ich, A notebook remained inside the drawer., A notebook remained insidePHONE EXTRA ORD,1.0,0.9541818704644728,0.9999999999999999
11,18,48,A notebook remained inside the drawer.,Write a neutral product descriptions.,nearby_rank_substitution,6,7,1,0.14285714285714285,6,1.0,True,üs aus mor­gen und ich,üs aus mor­gen und ab, A notebook remained inside the drawer., A notebook remained inside the drawer.\n,1.0,0.9541818704644728,0.9999999999999999
11,18,48,A notebook remained inside the drawer.,Write a neutral product descriptions.,adjacent_token_transposition,5,7,2,0.2857142857142857,5,1.0,True,üs aus mor­gen und ich,üs aus mor­gen ich und, A notebook remained inside the drawer., A notebook remained inside the packers,1.0,0.9541818704644728,0.9999999999999999
11,18,48,A notebook remained inside the drawer.,Write a neutral product descriptions.,punctuation_token_substitution,5,7,2,0.2857142857142857,5,1.0,True,üs aus mor­gen und ich,üs aus mor­gen ? ich, A notebook remained inside the drawer., A notebook remained inside the screen doorway,1.0,0.9541818704644728,0.9999999999999999
12,10,37,The report was delayed until morning.,xescribe ancient Roman roads.,random_token_substitution,3,7,4,0.5714285714285714,3,1.0,True, аудически of free account:, аудически.support free account:, The report was delayed until morning., The report was Connecting Well on line,1.0,0.9541818704644728,0.9999999999999999
12,10,37,The report was delayed until morning.,xescribe ancient Roman roads.,nearby_rank_substitution,3,7,4,0.5714285714285714,3,1.0,True, аудически of free account:, аудически при free account:, The report was delayed until morning., The report was intendeddetail recent advancements,1.0,0.9541818704644728,0.9999999999999999
12,10,37,The report was delayed until morning.,xescribe ancient Roman roads.,adjacent_token_transposition,1,7,6,0.8571428571428571,1,1.0,True, аудически of free account:, аудкиичес of free account:, The report was delayed until morning., The rules topspace - we don,1.0,0.9541818704644728,0.9999999999999999
12,10,37,The report was delayed until morning.,xescribe ancient Roman roads.,punctuation_token_substitution,1,7,6,0.8571428571428571,1,1.0,True, аудически of free account:, ауд :ки of free account:, The report was delayed until morning., The non Participation - Half value for,1.0,0.9541818704644728,0.9999999999999999
13,4,25,The lab notebook was hidden in the cabinet.,Talk about animals in a forest briefly.,random_token_substitution,6,9,3,0.3333333333333333,6,1.0,True,xB That must happen aways from all of,xB That must happen awayskwargs all of, The lab notebook was hidden in the cabinet., The lab notebook was hidden in amend's drawer,1.0,0.9541818704644728,0.9999999999999999
13,4,25,The lab notebook was hidden in the cabinet.,Talk about animals in a forest briefly.,nearby_rank_substitution,1,9,8,0.8888888888888888,1,1.0,True,xB That must happen aways from all of,xB/c must happen aways from all of, The lab notebook was hidden in the cabinet., The neural Excum centrifiguation theory is,1.0,0.9541818704644728,0.9999999999999999
13,4,25,The lab notebook was hidden in the cabinet.,Talk about animals in a forest briefly.,adjacent_token_transposition,5,9,4,0.4444444444444444,5,1.0,True,xB That must happen aways from all of,xB That must happen aw fromays all of, The lab notebook was hidden in the cabinet., The lab notebook was hidden brief chai lattea,1.0,0.9541818704644728,0.9999999999999999
13,4,25,The lab notebook was hidden in the cabinet.,Talk about animals in a forest briefly.,punctuation_token_substitution,4,9,5,0.5555555555555556,4,1.0,True,xB That must happen aways from all of,"xB That must happen ,ays from all of", The lab notebook was hidden in the cabinet.," The lab notebook was incorrectly setOpen , setClosed",1.0,0.9541818704644728,0.9999999999999999
14,11,32,Several people waited near the market.,Explain a baseball practice?,random_token_substitution,1,7,6,0.8571428571428571,1,1.0,True," diferencia, UVA, Colorado Springs"," diferencia century UVA, Colorado Springs", Several people waited near the market., Several Yuan included ( 1314,1.0,0.9541818704644728,0.9999999999999999
14,11,32,Several people waited near the market.,Explain a baseball practice?,nearby_rank_substitution,6,7,1,0.14285714285714285,6,1.0,True," diferencia, UVA, Colorado Springs"," diferencia, UVA, Colorado Rockies", Several people waited near the market., Several people waited near the market stalls,1.0,0.9541818704644728,0.9999999999999999
14,11,32,Several people waited near the market.,Explain a baseball practice?,adjacent_token_transposition,5,7,2,0.2857142857142857,5,1.0,True," diferencia, UVA, Colorado Springs"," diferencia, UVA, Springs Colorado", Several people waited near the market., Several people waited near the mobility·,1.0,0.9541818704644728,0.9999999999999999
14,11,32,Several people waited near the market.,Explain a baseball practice?,punctuation_token_substitution,4,7,3,0.42857142857142855,4,1.0,True," diferencia, UVA, Colorado Springs"," diferencia, UVA ? Colorado Springs", Several people waited near the market., Several people waited near Bob Keeffe,1.0,0.9541818704644728,0.9999999999999999
15,4,16,The lab notebook was hidden in the cabinet.,Describe a quiet mountain village briefly.,random_token_substitution,0,9,9,1.0,0,1.0,True, одну первинность убежице\n,ायन первинность убежице\n, The lab notebook was hidden in the cabinet.,_DD제할 DB 검색_\n\n``curl http,1.0,0.9541818704644728,0.9999999999999999
15,4,16,The lab notebook was hidden in the cabinet.,Describe a quiet mountain village briefly.,nearby_rank_substitution,7,9,2,0.2222222222222222,7,1.0,True, одну первинность убежице\n, одну первинность убежиши\n, The lab notebook was hidden in the cabinet., The lab notebook was hidden in the same spot,1.0,0.9541818704644728,0.9999999999999999
15,4,16,The lab notebook was hidden in the cabinet.,Describe a quiet mountain village briefly.,adjacent_token_transposition,0,9,9,1.0,0,1.0,True, одну первинность убежице\n, перв однуинность убежице\n, The lab notebook was hidden in the cabinet., аналогCallableWrapper .getLogNormalizedPath\n  -,1.0,0.9541818704644728,0.9999999999999999
15,4,16,The lab notebook was hidden in the cabinet.,Describe a quiet mountain village briefly.,punctuation_token_substitution,0,9,9,1.0,0,1.0,True, одну первинность убежице\n, : первинность убежице\n, The lab notebook was hidden in the cabinet.,General shielding factors on free electron laser optimization\n,1.0,0.9541818704644728,0.9999999999999999
16,11,8,Several people waited near the market.,Write about baking bread in one paragraph.,random_token_substitution,4,7,3,0.42857142857142855,4,1.0,True, chocolates with optional! The simplicity that, chocolates with optional! THIS simplicity that, Several people waited near the market., Several people waited near suspected unlawful acts,1.0,0.9541818704644728,0.9999999999999999
16,11,8,Several people waited near the market.,Write about baking bread in one paragraph.,nearby_rank_substitution,3,7,4,0.5714285714285714,3,1.0,True, chocolates with optional! The simplicity that, chocolates with optional extra The simplicity that, Several people waited near the market.," Several people waited, But NOONE",1.0,0.9541818704644728,0.9999999999999999
16,11,8,Several people waited near the market.,Write about baking bread in one paragraph.,adjacent_token_transposition,0,7,7,1.0,0,1.0,True, chocolates with optional! The simplicity that, with chocolates optional! The simplicity that, Several people waited near the market.,"Weekly Boot Plant and Nursery.\n""",1.0,0.9541818704644728,0.9999999999999999
16,11,8,Several people waited near the market.,Write about baking bread in one paragraph.,punctuation_token_substitution,0,7,7,1.0,0,1.0,True, chocolates with optional! The simplicity that," , with optional! The simplicity that", Several people waited near the market.,SynbiAX/AXa (,1.0,0.9541818704644728,0.9999999999999999
17,17,52,The machine failed during testing.,Write a neutral product description briefly.,random_token_substitution,3,6,3,0.5,3,1.0,True, swirling mind Aromatic essential oils, swirling mind A essential oils, The machine failed during testing., The machine failed 关Digits ,1.0,0.9541818704644728,0.9999999999999999
17,17,52,The machine failed during testing.,Write a neutral product description briefly.,nearby_rank_substitution,0,6,6,1.0,0,1.0,True, swirling mind Aromatic essential oils, συμμε mind Aromatic essential oils, The machine failed during testing.,ifestyles хозя!\nLooking for the,1.0,0.9541818704644728,0.9999999999999999
17,17,52,The machine failed during testing.,Write a neutral product description briefly.,adjacent_token_transposition,3,6,3,0.5,3,1.0,True, swirling mind Aromatic essential oils, swirling mind A essentialromatic oils, The machine failed during testing., The machine failed likely=` Maybe,1.0,0.9541818704644728,0.9999999999999999
17,17,52,The machine failed during testing.,Write a neutral product description briefly.,punctuation_token_substitution,1,6,5,0.8333333333333334,1,1.0,True, swirling mind Aromatic essential oils, swirling ? Aromatic essential oils, The machine failed during testing., The Angel Inn provides free Wi,1.0,0.9541818704644728,0.9999999999999999
18,8,23,The old train station was closed.,Talk about animals in a forest?,random_token_substitution,3,7,4,0.5714285714285714,3,1.0,True,_NODE 'and' animal] Forest,_NODE 'and businesses animal] Forest, The old train station was closed., The old train_Event Partitures -,1.0,0.9541818704644728,0.9999999999999999
18,8,23,The old train station was closed.,Talk about animals in a forest?,nearby_rank_substitution,5,7,2,0.2857142857142857,5,1.0,True,_NODE 'and' animal] Forest,_NODE 'and' animal_in Forest, The old train station was closed., The old train station was the epic,1.0,0.9541818704644728,0.9999999999999999
18,8,23,The old train station was closed.,Talk about animals in a forest?,adjacent_token_transposition,1,7,6,0.8571428571428571,1,1.0,True,_NODE 'and' animal] Forest,_NODEand '' animal] Forest, The old train station was closed., The published ceremonyurer had married Lady,1.0,0.9541818704644728,0.9999999999999999
18,8,23,The old train station was closed.,Talk about animals in a forest?,punctuation_token_substitution,5,7,2,0.2857142857142857,5,1.0,True,_NODE 'and' animal] Forest,_NODE 'and' animal : Forest, The old train station was closed., The old train station was condemned many,1.0,0.9541818704644728,0.9999999999999999
19,7,36,The device stopped working after midnight.,Describe ancient Roman roads.,random_token_substitution,2,7,5,0.7142857142857143,2,1.0,True,WIDTH_GFT =  %s,WIDTH_G rele =  %s, The device stopped working after midnight., The deviceRaed()command reads,1.0,0.9541818704644728,0.9999999999999999
19,7,36,The device stopped working after midnight.,Describe ancient Roman roads.,nearby_rank_substitution,5,7,2,0.2857142857142857,5,1.0,True,WIDTH_GFT =  %s,WIDTH_GFT = 670s, The device stopped working after midnight., The device stopped working after VANS,1.0,0.9541818704644728,0.9999999999999999
19,7,36,The device stopped working after midnight.,Describe ancient Roman roads.,adjacent_token_transposition,1,7,6,0.8571428571428571,1,1.0,True,WIDTH_GFT =  %s,WIDTHFT_G =  %s, The device stopped working after midnight., The revised Community Infrastructure Levy commenced on,1.0,0.9541818704644728,0.9999999999999999
19,7,36,The device stopped working after midnight.,Describe ancient Roman roads.,punctuation_token_substitution,2,7,5,0.7142857142857143,2,1.0,True,WIDTH_GFT =  %s,"WIDTH_G , =  %s", The device stopped working after midnight., The device introduced specific and various types,1.0,0.9541818704644728,0.9999999999999999
